"dataset_type","plot_type","base_file","version","target_orig","target_plotIndex","display_order","svg_file"
"Turk5","boxplot","turk5_1_135_135_10_13","Highlight",13,16,"12,11,7,20,16,3,5,18,9,2,14,4,6,17,8,13,15,1,19,10","T5_boxplot_turk5_1_135_135_10_13_Highlight.svg"
"Turk5","boxplot","turk5_1_135_135_10_13","Talk",13,10,"5,2,12,6,20,11,17,4,18,13,19,8,9,10,14,3,1,7,16,15","T5_boxplot_turk5_1_135_135_10_13_Talk.svg"
"Turk5","boxplot","turk5_1_135_135_10_13","Text",13,19,"18,15,19,9,16,4,6,7,11,8,2,20,3,12,14,17,5,10,13,1","T5_boxplot_turk5_1_135_135_10_13_Text.svg"
"Turk5","boxplot","turk5_1_135_135_12_19","Highlight",19,18,"10,2,18,9,16,8,6,17,4,7,15,1,13,14,12,11,5,19,20,3","T5_boxplot_turk5_1_135_135_12_19_Highlight.svg"
"Turk5","boxplot","turk5_1_135_135_12_19","Talk",19,9,"15,7,11,4,8,17,1,2,19,13,20,5,3,10,14,18,16,6,9,12","T5_boxplot_turk5_1_135_135_12_19_Talk.svg"
"Turk5","boxplot","turk5_1_135_135_12_19","Text",19,1,"19,7,9,18,11,15,1,12,4,10,17,2,16,20,5,8,14,3,13,6","T5_boxplot_turk5_1_135_135_12_19_Text.svg"
"Turk5","boxplot","turk5_1_135_45_10_19","Highlight",19,2,"18,19,1,14,20,4,15,17,11,3,10,12,8,2,7,5,13,6,9,16","T5_boxplot_turk5_1_135_45_10_19_Highlight.svg"
"Turk5","boxplot","turk5_1_135_45_10_19","Talk",19,8,"13,15,2,3,18,10,1,19,16,12,20,17,8,5,11,6,9,14,7,4","T5_boxplot_turk5_1_135_45_10_19_Talk.svg"
"Turk5","boxplot","turk5_1_135_45_10_19","Text",19,18,"20,10,2,16,5,13,3,8,18,1,14,4,9,11,15,7,17,19,6,12","T5_boxplot_turk5_1_135_45_10_19_Text.svg"
"Turk5","boxplot","turk5_1_135_45_12_12","Highlight",12,13,"15,5,17,13,2,9,1,3,8,14,11,7,12,20,18,16,19,10,4,6","T5_boxplot_turk5_1_135_45_12_12_Highlight.svg"
"Turk5","boxplot","turk5_1_135_45_12_12","Talk",12,1,"12,9,11,18,1,3,16,19,15,20,13,5,10,17,2,14,8,6,7,4","T5_boxplot_turk5_1_135_45_12_12_Talk.svg"
"Turk5","boxplot","turk5_1_135_45_12_12","Text",12,3,"11,6,12,17,15,20,4,18,13,7,14,9,3,10,16,1,19,8,2,5","T5_boxplot_turk5_1_135_45_12_12_Text.svg"
"Turk5","boxplot","turk5_1_135_90_10_6","Highlight",6,7,"14,15,11,1,17,4,6,7,12,9,16,2,5,20,8,13,18,3,10,19","T5_boxplot_turk5_1_135_90_10_6_Highlight.svg"
"Turk5","boxplot","turk5_1_135_90_10_6","Talk",6,6,"15,18,4,17,9,6,11,2,14,5,1,3,12,16,8,10,19,7,13,20","T5_boxplot_turk5_1_135_90_10_6_Talk.svg"
"Turk5","boxplot","turk5_1_135_90_10_6","Text",6,19,"12,10,3,16,9,5,15,13,4,1,14,19,8,20,18,11,7,17,6,2","T5_boxplot_turk5_1_135_90_10_6_Text.svg"
